ステークホルダー	価値記述名	価値記述	価値記述の重要度	価値記述の重要度の理由	関連する目的
株式会社ビープラウド（自社）	企画コンサル業務の生産性向上	企画コンサルティング案件を複数抱える中で、AIエージェントツールを活用して各フェーズのモデリングを自動生成することで、ファシリテーター1人あたりの対応案件数を増やせて嬉しい	高	自社の事業収益に直結する最重要テーマ。生産性向上は外部提供の拡大とも連動し、ビジネスモデルの核心	モデリング自動生成による企画プロセスの加速
株式会社ビープラウド（自社）	匠Methodの知見の外部提供	13年間で蓄積した匠Methodの実践知見をAIに体現させることで、これまでファシリテーターが直接関わらなければ提供できなかったサービスを広いユーザー層に提供できて嬉しい	高	自社のノウハウを事業化・スケールさせるための核。提供範囲の拡大が競争優位性に直結する	匠Methodの知見を誰でも活用できる民主化の実現
株式会社ビープラウド（自社）	AIによるファシリテーター負荷軽減	ワークショップや企画支援の現場で、AIが定型的なモデル生成と品質チェックを担うことで、ファシリテーターが本質的な対話と価値創造に集中できて嬉しい	高	ファシリテーターの負荷軽減は人的リソースの持続的活用に不可欠であり、高品質なサービス提供の基盤となる	ファシリテーターの本質的対話への集中支援
株式会社ビープラウド（自社）	出力品質の安定的な担保	匠Methodの知識をAIに正確に組み込んだツールを運用することで、担当者の熟練度によらず一定水準以上のモデル成果物を継続して提供できて嬉しい	中	サービス品質の均質化は顧客満足と自社ブランド維持に寄与するが、生産性向上・提供範囲の拡大より優先度はやや低い	品質基準に基づく自動検証・改善提案の提供
株式会社ビープラウド（自社）	AI開発技術力の蓄積	匠Method AIエージェントツールの開発・運用を通じて、生成AIを活用したビジネス支援ツールの技術ノウハウを蓄積することで、新たな事業展開の可能性が広がって嬉しい	中	中長期的な事業拡大の観点で重要だが、現フェーズでは既存サービスの拡大・改善より優先度は低い	生成AIプラットフォームとの連携による実用性・信頼性の実証
個人ビジネス企画者	一人でも高品質な企画モデリングが完結	ファシリテーターなしで企画を進めたい場面で、AIエージェントが匠Methodの各ステップを導いてくれることで、一人でも体系的に企画モデリングを完結できて嬉しい	高	個人企画者の最大の障壁「一人では進められない」を直接解決する。他の価値の前提となる根本的価値	匠Methodの知見を誰でも活用できる民主化の実現
個人ビジネス企画者	企画アイデアの即時モデル化	ビジネスのアイデアが浮かんだとき、企画案を入力するだけでAIがステークホルダーモデルや価値分析モデルを即座に生成してくれるため、思いを形にするまでの時間を大幅に短縮できて嬉しい	高	時間やリソースが不足している個人企画者にとって、スピードは企画継続の鍵。モチベーション維持にも直結する	モデリング自動生成による企画プロセスの加速
個人ビジネス企画者	品質基準の可視化による安心感	作成したモデルの品質に自信が持てない場面で、AIが品質チェックと改善提案を行ってくれることで、成果物が正しい方向にあるかを確認できて安心して嬉しい	高	品質判断の難しさは企画者の大きな不安要素。安心感の提供は継続利用と信頼確立に不可欠	品質基準に基づく自動検証・改善提案の提供
個人ビジネス企画者	提案書・計画書の一貫作成	企画モデリングから先に進みたい段階で、匠MethodのモデルをもとにAIが提案書やプロジェクト計画書まで一貫して生成することで、企画全体を完結させられて嬉しい	中	モデリング完了後の次のステップを支援する価値。企画者の最終目標達成を助けるが、モデリング支援より優先度は低い	企画モデルから提案書・計画書までの一貫生成
個人ビジネス企画者	匠Methodの学習と習熟	匠Methodに不慣れな状態でも、AIエージェントとともにモデリングを進める中で、各ステップの意図や考え方を自然に学びながらスキルアップできて嬉しい	中	継続利用とスキル向上につながる価値。ただし即時的な課題解決より優先度はやや低い	ステップガイドによる次アクション・判断基準の明確化
法人チームの企画担当者	チームモデリングの品質統一	複数メンバーで匠Methodを進める際に、AIエージェントが各ステップの品質基準を統一的に適用してくれることで、担当者の習熟度に関わらず一定水準のモデルをチーム全体で維持できて嬉しい	高	品質のばらつきはチーム最大の課題。統一基準の確保は法人ユーザーが最も重視する価値	組織・チームへの匠Method均質浸透の支援
法人チームの企画担当者	業務との並行でも進められる効率性	本業の業務が忙しい中でも、AIが自動でモデル生成の大部分を担ってくれることで、限られた時間でも企画モデリングを前進させられて嬉しい	高	リソース不足は法人チームの共通課題。業務との両立を可能にする価値は利用継続の鍵	モデリング自動生成による企画プロセスの加速
法人チームの企画担当者	各ステップの判断基準の明確化	チームで進行中にどのステップで何をすべきか迷ったとき、AIエージェントが次のアクションと判断基準を示してくれることで、進行が滞らず意思決定できて嬉しい	高	判断基準の不明確さは進行停滞に直結する。チームの生産性に大きな影響を持つ重要な価値	ステップガイドによる次アクション・判断基準の明確化
法人チームの企画担当者	モデルの一元管理と共有	チームメンバーが分散して作業する環境で、AIエージェントが生成したモデルをTSVやDrawIOなどの形式で一元的に出力することで、成果物を共有・管理しやすくなって嬉しい	中	チーム協働の効率化に寄与するが、品質統一・効率性の確保より優先度はやや低い	組織・チームへの匠Method均質浸透の支援
法人チームの企画担当者	企画提案書の迅速な作成	経営層や外部への提案期日が迫る状況で、匠Methodのモデルから提案書をAIが自動生成してくれることで、高品質な資料を短期間で仕上げられて嬉しい	中	提案書作成の効率化は実務価値が高いが、モデリング自体の支援より下位の価値として位置付けられる	企画モデルから提案書・計画書までの一貫生成
匠Methodファシリテーター	本質的な対話への集中	ワークショップのファシリテーション中に、AIエージェントがモデルの自動生成と品質チェックを担ってくれることで、ファシリテーターが参加者との深い対話と価値創造に専念できて嬉しい	高	ファシリテーターの本来価値を最大化する核心的な改善。本質的な仕事に集中することは最も切実な課題	ファシリテーターの本質的対話への集中支援
匠Methodファシリテーター	進行管理負荷の大幅削減	複数のステップにわたる長いモデリングセッションで、AIが進行のガイドとタスク管理を自動的に行ってくれることで、ファシリテーターの精神的・時間的負荷が大幅に軽減されて嬉しい	高	進行管理負荷はファシリテーターの最大課題。持続的な活動を支える重要な価値	ステップガイドによる次アクション・判断基準の明確化
匠Methodファシリテーター	生成モデルの品質保証	モデリングセッション後に成果物の品質確認を行う際、AIエージェントが品質基準に基づいて自動検証・改善案を提示してくれることで、品質担保の手間なく高水準の成果物を届けられて嬉しい	高	品質担保の負荷はファシリテーターの主要課題の一つ。顧客への価値提供レベルにも直結する	品質基準に基づく自動検証・改善提案の提供
匠Methodファシリテーター	同時対応案件数の拡大	AIエージェントが定型的なモデリング作業を肩代わりしてくれることで、ファシリテーター一人が同時に対応できる企画案件の数を増やすことができて嬉しい	中	生産性向上と収益拡大に寄与するが、集中・負荷軽減・品質保証という根本的な課題解決より優先度は低い	モデリング自動生成による企画プロセスの加速
匠Methodファシリテーター	匠Methodの普及への貢献	これまでファシリテーターが直接関与しなければ利用が難しかった匠Methodを、AIエージェントによって広いユーザー層が活用できるようになることで、自分の専門性が社会に広く貢献できていて嬉しい	中	ファシリテーターにとっての内発的動機に訴える価値。ただし直接的な業務課題解決より優先度は低い	匠Methodの知見を誰でも活用できる民主化の実現
匠Methodの考案者・権利者	メソッドの正確な体現	自身が考案した匠Methodの知識体系がAIエージェントに正確に組み込まれていることで、ツールを通じて世界中のユーザーがメソッドの本質を正しく体験できて嬉しい	高	メソッドの正確性は考案者・権利者の最大の懸念であり、ブランドと理念を守る根幹となる価値	品質基準に基づく自動検証・改善提案の提供
匠Methodの考案者・権利者	匠Methodの普及拡大	AIエージェントツールを通じて匠Methodが広く普及することで、これまでリーチできなかったユーザー層にメソッドの価値を届けられて嬉しい	高	考案者として自身のメソッドが広く活用されることは本質的な目標。普及はブランド強化にも貢献する	匠Methodの知見を誰でも活用できる民主化の実現
匠Methodの考案者・権利者	ブランドの品質保護	ツールが誤った使い方をされるリスクを、AIエージェントの品質制御機能が抑制してくれることで、匠Methodのブランドと信頼性を守れて安心して嬉しい	中	ブランド毀損リスクへの対応は重要だが、正確な体現と普及拡大という積極的な価値より優先度は低い	品質基準に基づく自動検証・改善提案の提供
企業の経営層・意思決定者	ROIの可視化による意思決定	ツール導入を検討する際に、AIエージェントが企画モデリングから提案書まで一貫して生成することで、従来の工数と比較した投資対効果を具体的に見通せて嬉しい	高	経営層が導入を決断する最重要要素。ROIが明確にならなければ投資判断ができない	企画モデルから提案書・計画書までの一貫生成
企業の経営層・意思決定者	組織への匠Method浸透	チームメンバーの習熟度に依存せずAIがモデリングを支援してくれることで、匠Methodの考え方を組織全体に均質に浸透させられて嬉しい	高	経営層の戦略的課題「組織内浸透の難しさ」に直接応える価値。導入効果の持続性を支える	組織・チームへの匠Method均質浸透の支援
企業の経営層・意思決定者	AI導入リスクの低減	生成AIの導入に不安を感じる中でも、匠Methodの実績ある知見に基づいたツールを活用することで、AI導入のリスクが抑制されていると実感できて安心して嬉しい	中	導入障壁となるリスク懸念を解消する価値。ROI可視化・組織浸透より優先度は低いが意思決定の後押しになる	生成AIプラットフォームとの連携による実用性・信頼性の実証
生成AIプラットフォーム提供者	APIの継続的・安定的な活用	匠Method AIエージェントツールが市場で普及することで、自社APIが実用的なビジネス支援ツールとして継続的に活用されて嬉しい	高	プラットフォーム提供者にとって、APIの継続利用はビジネスの根幹。安定した需要の確保は最重要価値	生成AIプラットフォームとの連携による実用性・信頼性の実証
生成AIプラットフォーム提供者	実用ユースケースとしての実績	ビジネス企画モデリングという高度な専門的ユースケースで自社の生成AIが活用されることで、AIプラットフォームの実用性と信頼性を示すリファレンスケースを得られて嬉しい	中	プラットフォームの価値証明につながるが、継続的API活用という収益的価値より優先度は低い	生成AIプラットフォームとの連携による実用性・信頼性の実証
生成AIプラットフォーム提供者	モデル品質向上へのフィードバック	専門的な匠Method知識を要求するユースケースでのAPI活用を通じて、自社モデルの改善に役立つ実践的なフィードバックを得られる機会があって嬉しい	中	間接的な改善機会であり、APIの継続活用・実績獲得と比べ価値の優先度はやや低い	生成AIプラットフォームとの連携による実用性・信頼性の実証
